"Total";"Ano_CS";"X";"Y";"tmean";"tmax";"tmin";"tseas";"pr";"prseas";"elev";"slope";"linear_infrastr";"forest";"water";"shrub";"bare";"for_shr_bare";"settle_med";"settle_low";"for_shr_grass";"for_shr_crop";"for_shr_agric";"mosaic_low";"settle_high";"crop_med";"grass_low";"crop_high";"grass_med";"grass_high";"mosaic_med";"ext_perm_crop";"crop_low";"int_perm_crop";"mosaic_high";"geometry"
0;2016;1,71239355634525;42,1203011538452;-1,23226557229567;-1,28160918946668;-1,19607772629147;0,348678258093795;0,368817685010458;0,705878442848649;0,619127376988283;0,852414594937026;0,966598935133374;0,61245411973168;0,00461966839640552;0,0437286419440577;0,00221490950512593;0,00449310213896975;0,0132894570307556;0,0144918364763954;0,0239210226553601;0,115554993038856;0,000189849386153651;0,000506265029743071;0,00556891532717378;0,0903050246804202;0,00765725857486394;0,026135932160486;0,00999873433742564;0,000253132514871535;0,00120237944563979;0,00297430704974054;0,0201873180610049;0;0,000253132514871535;c(1.71239355634525, 42.1203011538452)
0;2016;-1,26738519617749;38,6985639444344;-0,14802886495098;-0,183168666577951;-0,179831183201563;0,36359626543948;-0,439267772593065;0,939057733615465;-0,0422614294066399;-0,228418714482222;1,13251863067975;0,160667405635611;0,0044921533166093;0,0628901464325302;0,000350037920774751;0;0,0183186511872119;0,0208272562860977;0,0369290006417362;0,0551893121754857;0,00233358613849834;0,0350037920774751;0,00740913598973222;0,106294848608599;0,0713493961845867;0,00962604282130564;0,0197771425237734;0;0,000408377574237209;0,110320284697509;0,124205122221574;0,153608307566653;0;c(-1.26738519617749, 38.6985639444344)
0;2016;-3,0799401296777;42,3126771651634;-1,34883170202918;-1,32012409370816;-1,34375092772045;-0,058329522609226;1,3034216216497;0,875816083837576;0,712121499328145;0,215950355268635;0,963186451042897;0,449483511020273;0,00607634093796608;0,0505993481743357;0;0,000828591946086284;0,0159642048279291;0,0195547699276363;0,0351875379771309;0,0779981218582555;0,000939070872231122;0,0135889079158151;0,00673921449483511;0,132464232447661;0,0268463790531956;0,099817709771861;0;0;0,000386676241506933;0,02215102469204;0,00767828536706623;0,0336960724741756;0;c(-3.0799401296777, 42.3126771651634)
0;2018;-0,928897905241222;39,4378876831331;-0,270955798428087;-0,230751329376803;-0,319924763137054;0,510401073733298;0,0237623291389458;0,290374371735571;-0,256705921057961;-0,0408850196394016;1,40500894070355;0,293625051601109;0,0196379076487586;0,112284012502211;0,000707672347703014;0,00159226278233178;0,0378014979064693;0,0221147608657192;0,0527805625995164;0,0388040337323819;0,00212301704310904;0,00583829686854986;0,0241788052131863;0,0174559179100077;0,0278351123429852;0,000825617738986849;0,0143893377366279;0;0,000235890782567671;0,188122899097718;0,0484165831220145;0,0912307601580468;0;c(-0.928897905241222, 39.4378876831331)
0;2017;-6,9086328151349;39,4020361870429;0,133608738247691;0,229368964331156;0,285524882942404;0,837084673271418;-0,232699390991278;1,13050648762885;-0,905805203686154;-0,496850204530017;0,599757494762251;0,31865117779929;0,0242013552758954;0,0872862213617296;0,000403355921264924;0;0,0079864472410455;0,0118586640851888;0,0699419167473379;0,0192804130364634;0,106647305582446;0,0217812197483059;0,00540496934494998;0,074298160696999;0,185866408518877;0,00225879315908358;0,0102452404001291;0;8,06711842529848e-05;0,0367053888351081;0,00677637947725073;0,0103259115843821;0;c(-6.9086328151349, 39.4020361870429)
0;2018;-7,05728912634246;38,2519613251461;-0,242977619228158;-0,0682742854488836;-0,132562202777046;0,531731602033848;0,745169607326067;1,07099395997112;-0,755777307156773;-0,235215581916606;0,713230661177785;0,524783489957619;0,0134512622074811;0,0513174866408697;0,000276395798783858;0;0,0033167495854063;0,0115164916159941;0,0316012529942878;0,0250598857564032;0,093698175787728;0,013727658006265;0,00304035378662244;0,0522388059701493;0,0369449051041091;0;0,00460659664639764;0;0,00128984706099134;0,0133591302745532;0,0240464344941957;0,095725078312143;0;c(-7.05728912634246, 38.2519613251461)
0;2016;-7,84014986045221;42,5624706521929;-1,07392903713476;-0,895389061542311;-1,11768863364358;-0,831006018694637;3,20141829646383;0,675694872276121;-0,296003801662287;0,141442436059551;1,89572109800247;0,440687330791756;0,0109398309298856;0,130946461130449;5,52516713630587e-05;0,000552516713630587;0,011326592629427;0,0160782363666501;0,0179567931929941;0,172219459638654;0,00204431184043317;0,00657494889220399;0,00353610696723576;0,00607768384993646;0,0127078844135035;0;0,00939278413171999;0,00127078844135035;0,0253052654842809;0,00116028509862423;0,12807337421957;0;0,00309409359633129;c(-7.84014986045221, 42.5624706521929)
0;2017;-7,31782169735505;37,8153499381316;0,26398536789891;0,430543382607434;0,46121920862246;0,480512730341486;0,332093582017582;0,818499654099321;-1,10572260950886;-0,248414628196446;0,692243256514553;0,490409602771934;0,0173245885410221;0,18017572082663;0,000371241183021903;0,000123747061007301;0,00383615889122633;0,0101472590025987;0,0325454770449202;0,0144784061378542;0,112486078455637;0,00358866476921173;0,00210370003712412;0,0185620591510952;0,0371241183021903;0;0;0;0;0,0283380769706719;0,00866229427051107;0,0397228065833436;0;c(-7.31782169735505, 37.8153499381316)
0;2017;-3,93707880581472;40,1857914758889;-0,234115793712901;-0,346911714593898;-0,1194225213984;1,5978339291621;-0,442834714828716;0,578428435487637;-0,0596452262457408;-0,471274388418518;1,16990832945142;0,185591140035394;0,0132442769880687;0,0242621453445225;0,00108466061540218;0,000114174801621282;0,0873437232402809;0,0348804018953017;0,0314551578466632;0,0417879773933893;0,00690757549808757;0,0271165153850545;0,0695324541873608;0,11400353941885;0,0448136096363533;0,0093052463321345;0,0012559228178341;0,000285437004053205;0,00051378660729577;0,056630701604156;0,189244733687275;0,0606268196609008;0;c(-3.93707880581472, 40.1857914758889)
0;2016;-1,2910875702983;40,9500658444024;-0,944956766040626;-1,12591580560558;-0,870711046428517;0,800866800139316;-0,00534573770291944;0,598051616891254;0,808031802065849;-0,189271386893184;0,768000810082983;0,243957533318274;0,00429184549356223;0,131578947368421;0,000451773209848656;0,000225886604924328;0,00237180935170544;0,016546193810707;0,0146261576688502;0,144285068895415;0,00118590467585272;0,0299299751524735;0,00135531962954597;0,246272871018749;0,0250734131466004;0,00056471651231082;0,00197650779308787;0;0,000960018070928394;0,0356900835780438;0,0823356674949176;0,0163203072057827;0;c(-1.2910875702983, 40.9500658444024)
0;2016;-3,84980099323657;38,3970201664878;0,0155309109438862;-0,000792318542908967;-0,0311043019801517;1,58297719757843;0,203450272399934;0,757648155583159;-0,186761871022739;-0,0632263603139619;0,714364124253067;0,371438621174815;0,0143627623402509;0,050650721069293;0,000468988158049009;0,00123109391487865;0,0127213037870794;0,012076445069762;0,0351741118536757;0,0318325712275765;0,017176691288545;0,0141868917809825;0,00697619885097901;0,0525852972212452;0,0263219603705006;0;0,0123109391487865;0;0;0,0552233556102708;0,0752139758471099;0,2100480712862;0;c(-3.84980099323657, 38.3970201664878)
0;2016;-6,22093217789294;41,1888667411791;-0,899360848701152;-0,804859038631647;-0,852345605236648;0,621748989966542;0,885906962419112;0,856854924093046;0,187219112388987;-0,587451094609276;0,972938779325623;0,291102445941156;0,0482098546614676;0,0429634881247784;0,000141793690180787;0;0,0119106699751861;0,0240340304856434;0,0806806097128678;0,0579936192839419;0,0440269408011343;0,0382842963488125;0,00467919177596597;0,172279333569656;0,0416873449131514;0,00021269053527118;0,0572846508330379;0;0,0244594115561858;0,00276497695852535;0,0543778801843318;0,00290677064870613;0;c(-6.22093217789294, 41.1888667411791)
